,Tweets
0,Happy Orthodox Christmas! https://t.co/ERnmQGOHsP
1,Happy New Year 2020! https://t.co/sF0EtB6941
2,US sanctions against Nord Stream 2 hit the interests of a large number of European countries. This is unfair competition. I instructed my colleagues from the Government to work out restrictive measures against the United States https://t.co/YgjWjXp07p https://t.co/dJj2kUk194
3,We discussed inter-parliamentary dialogue and the development of Russian-Vietnamese cooperation in general with Chair of the National Assembly of Vietnam Nguyen Thi Kim Ngan https://t.co/otiJdnKZSp
4,Congratulations to Sanna Marin @MarinSanna on her appointment as Prime Minister of Finland. I am confident that further constructive dialogue at the prime minister level will promote the development of Russia-Finland cooperation in all areas
5,I met with Prime Minister of Belarus Sergei Roumas in Sochi. Russian-Belarusian talks will continue at the presidential level tomorrow https://t.co/3dAxMHmXjO
6,"Relations between Russia, the EU and the US are not going through their best period, but I’m sure the trade wars will end and the sanctions will be lifted. Everyone suffers from the sanctions #Medvedev #Interview"
7,"The most important thing is for the current President of Ukraine, Vladimir Zelensky, to be strong enough to counteract the frenzied nationalism and provocations in Ukraine, and the tendency to ruin ties with Russia #Medvedev #Interview"
8,About Russia's possible ban from the Tokyo Olympics: WADA complaints about Russian athletes over alleged use of illegal drugs are part of an endless anti-Russia soap opera. We will fight for each athlete to participate #Medvedev #Interview
9,"I summed up the results of the year in an interview with 20 Russian TV channels. This year, with digital broadcasting, these channels became available to all residents of Russia https://t.co/0SsAVSs96v https://t.co/s911NoOy4B"
10,"Our cooperation with Mongolia is based on our lasting friendship and convergent approaches to many international and regional matters. Mongolian Prime Minister Ukhnaagiin Khurelsukh and I had meaningful talks on trade and economic cooperation, as well as new investment projects https://t.co/4Baa6Opmo1"
11,"Now bilateral relations with individual EU countries are more important for us than relations with the EU. We want good EU ties, but we will not make a special effort until the EU wants to restore relations. It is all up to our European colleagues. We did not disrupt contacts https://t.co/VN2oY8H47L"
12,"Today I had thorough talks with my colleague Finnish Prime Minister Antti Rinne. We discussed a number of important issues, including how our trade, economic and investment relations are developing. We also talked about the cultural and educational sphere and tourist exchanges. https://t.co/Wguc6IpmqX"
13,First Vice-President of Azerbaijan Mehriban Aliyeva and I discussed Russia-Azerbaijan cooperation in the economy and other areas https://t.co/xpREXIgp42
14,Russian-Swiss relations are based on mutual respect. I discussed bilateral economic cooperation and various humanitarian projects with President Ulie Maurer today. I hope it will give an additional impetus to the development of partnership between Russia and Switzerland https://t.co/PrBBnVSYZV
15,"I had a meeting with my colleague, Prime Minister of Moldova Ion Chicu. I hope our discussion will give an additional impetus to our relations in economic, investment and humanitarian spheres https://t.co/HzMs7zcDoS"
16,"Today's talks with our Belarusian colleagues have shown how substantively we discuss our partnership agreements 
https://t.co/OC2rYsgrqS https://t.co/iR6RvYWE8b"
17,Congratulations to Ion Chicu on his appointment as Prime Minister of Moldova
18,RT @GovernmentRF: Dmitry Medvedev sent birthday greetings to President of Kyrgyzstan Sooronbay Jeenbekov and noted his substantial personal…
19,"ASEAN Business Summit 2019, Bangkok. We are eye-witnesses of the emergence of a new economic paradigm with sweeping use of IT. Russia is ready to share its experience in the digital area with ASEAN nations and also to use the successful practices of our ASEAN colleagues https://t.co/XXf6CAExFz"
20,"The SCO Heads of Government Council meeting took place in Tashkent. Our cooperation is growing in all areas, despite external pressure and sanctions https://t.co/Dm7g9LDIw1"
21,Met with President of Cuba Miguel Diaz-Canel Bermudez @DiazCanelB in Moscow https://t.co/oVrHn3XWHn
22,"Many in Europe openly admit that the EU has sustained great diplomatic and economic losses for demonstrating the outward appearance of unity on the Russia issue. We welcome the principled stand of Serbia, which has not joined the sanctions against Russia 
https://t.co/qNUNE4YjRc https://t.co/FcuYvBk8sy"
23,Russia has always supported the Serbian people and is ready to provide any assistance that my be necessary to preserve its sovereignty and territorial integrity. We are exclusively interested in a peaceful settlement process based on UN Security Council Resolution 1244
24,"We value Serbia’s commitment to preserve the truth about WWII. This is especially important now, when monuments are demolished and executioners are hailed as heroes in some countries. Such ignorance undermines crucial principles of international relations developed after the war"
25,I am greatly honoured to take part in the celebrations of the 75 anniversary of Belgrade’s liberation from the Nazis. Such battles as the Belgrade Offensive decided the fate of Europe and the entire world. Its memory is equally cherished by the Serbian and Russian people https://t.co/3mSzUQ2yze
26,"The US aspires to dominate the world, including the Balkans and Europe. By the way, Europeans are tired of these aspirations and desires https://t.co/naNufHcJtU"
27,"It is clear that the Balkans remain a fairly unstable region, and we must never allow a repetition of any manifestation of violence, or attempts to change the map in the Balkans or any other move that can trigger a humanitarian disaster"
28,"Attempts to rewrite history are unacceptable, especially when it concerns such hardships as World War II. It should be remembered who paid the highest price for this victory https://t.co/naNufHcJtU"
29,"Today I will be in Serbia on an official visit. Russia and Serbia are partners in the economy and in politics, our views on many international events are very close or coincide. We discussed this in an interview with the Serbian daily, Vecernje Novosti https://t.co/naNufHcJtU https://t.co/g9dBpQ3zza"
30,Russia has defeated Cyprus 5-0. Congratulations to our national football team on their qualifying for UEFA Euro 2020! Hoping to see an equally impressive performance during the championship next year
